year,state,avg_wg,wg_diff
1969,AK,7.3165693390279758,
1970,AK,7.326187559151971,0.0096182201239951581
1971,AK,7.3562171948659643,0.030029635713993308
1972,AK,7.3638511145458674,0.0076339196799031228
1973,AK,7.44519901702376,0.081347902477892475
1974,AK,7.48111136203681,0.035912345013049851
1975,AK,7.5007203492498347,0.019608987213024953
1976,AK,7.5325693978144121,0.031849048564577487
1977,AK,7.5163358609826521,-0.016233536831760098
1978,AK,7.5354949893259953,0.019159128343343212
1979,AK,7.54619538444905,0.010700395123055095
1980,AK,7.5717380064250648,0.025542621976014424
1981,AK,7.6015177064514114,0.029779700026346667
1982,AK,7.6350555487958349,0.033537842344423474
1983,AK,7.6285096169770092,-0.0065459318188256788
1984,AK,7.6461672628912281,0.017657645914218811
1985,AK,7.6515417419226948,0.0053744790314667057
1986,AK,7.6714053992145557,0.019863657291860903
1987,AK,7.636832848152447,-0.034572551062108658
1988,AK,7.626554921263037,-0.010277926889409983
1989,AK,7.643832152922613,0.017277231659575953
1990,AK,7.6451516545635334,0.0013195016409204285
1991,AK,7.6656389697538048,0.02048731519027136
1992,AK,7.6468146783005952,-0.018824291453209518
1993,AK,7.6431739453084289,-0.0036407329921663845
1994,AK,7.6343108218003408,-0.0088631235080880444
1995,AK,7.6334966521966159,-0.00081416960372493463
1996,AK,7.6164572809943,-0.017039371202315579
1997,AK,7.5861190101670672,-0.03033827082723306
1998,AK,7.6058111491982476,0.019692139031180389
1999,AK,7.6016315892290249,-0.0041795599692227015
2000,AK,7.6237204858024841,0.022088896573459138
2001,AK,7.5959340935795474,-0.027786392222936662
2002,AK,7.5725230139972011,-0.023411079582346339
2003,AK,7.5472918500146635,-0.025231163982537552
2004,AK,7.5317371525428793,-0.015554697471784174
1969,AL,7.1944756414298334,
1970,AL,7.1915762755349553,-0.0028993658948781587
1971,AL,7.2095838837596746,0.018007608224719363
1972,AL,7.2106847509834227,0.0011008672237480255
1973,AL,7.2027740082514642,-0.0079107427319584644
1974,AL,7.23289914170445,0.030125133452985509
1975,AL,7.2168016158004962,-0.016097525903953525
1976,AL,7.2612591331756757,0.044457517375179556
1977,AL,7.2756034885352712,0.01434435535959544
1978,AL,7.2675596740917046,-0.00804381444356661
1979,AL,7.2966934250328066,0.029133750941102043
1980,AL,7.3122277980843249,0.01553437305151828
1981,AL,7.3066273175811283,-0.0056004805031966143
1982,AL,7.30059554704806,-0.0060317705330685811
1983,AL,7.3085146165612782,0.007919069513218524
1984,AL,7.30474299104155,-0.0037716255197279835
1985,AL,7.2978686097671046,-0.0068743812744456179
1986,AL,7.3033177914224678,0.0054491816553632333
1987,AL,7.3012367573831227,-0.00208103403934512
1988,AL,7.30535681420293,0.0041200568198069831
1989,AL,7.2858001098779992,-0.019556704324930507
1990,AL,7.2784505620020905,-0.0073495478759086907
1991,AL,7.251638949864895,-0.026811612137195517
1992,AL,7.2636704092777045,0.012031459412809475
1993,AL,7.24191206278579,-0.021758346491914438
1994,AL,7.2154033371352391,-0.026508725650550957
1995,AL,7.19953771852865,-0.01586561860658886
1996,AL,7.1853090571138463,-0.014228661414803945
1997,AL,7.1767033421622788,-0.008605714951567478
1998,AL,7.177573614795226,0.00087027263294725543
1999,AL,7.15965414923507,-0.017919465560155778
2000,AL,7.1164104667285066,-0.04324368250656363
2001,AL,7.1056714110179522,-0.010739055710554446
2002,AL,7.0816402839852248,-0.024031127032727362
2003,AL,7.0690189453522967,-0.012621338632928136
2004,AL,7.0375198237699159,-0.031499121582380774
1969,AR,7.2444574704707305,
1970,AR,7.2521714998389006,0.0077140293681701166
1971,AR,7.2623781505336922,0.010206650694791541
1972,AR,7.2726080819759931,0.010229931442300888
1973,AR,7.2780595972614757,0.0054515152854826
1974,AR,7.2772762571383689,-0.00078334012310676826
1975,AR,7.2551165618591131,-0.022159695279255764
1976,AR,7.2929668705057473,0.03785030864663419
1977,AR,7.310024694178284,0.01705782367253672
1978,AR,7.316452353528228,0.0064276593499439372
1979,AR,7.3543849712072005,0.037932617678972491
1980,AR,7.3417457433965705,-0.012639227810629983
1981,AR,7.3477214986956412,0.0059757552990706841
1982,AR,7.3565750348214181,0.0088535361257768841
1983,AR,7.3315796552808417,-0.0249953795405764
1984,AR,7.3570266182317985,0.025446962950956831
1985,AR,7.31046992804822,-0.046556690183578553
1986,AR,7.3188949733121031,0.008425045263883213
1987,AR,7.3058380277684822,-0.013056945543620913
1988,AR,7.29125741942103,-0.014580608347452007
1989,AR,7.2733166709977857,-0.017940748423244557
1990,AR,7.2628838121838895,-0.010432858813896217
1991,AR,7.2610395545211128,-0.0018442576627766272
1992,AR,7.2651949983636648,0.0041554438425519535
1993,AR,7.259594787528429,-0.0056002108352357638
1994,AR,7.2550743435991691,-0.0045204439292598764
1995,AR,7.2558958596984766,0.00082151609930747327
1996,AR,7.242146395339093,-0.013749464359383623
1997,AR,7.26424779348498,0.022101398145887075
1998,AR,7.2363672216136257,-0.027880571871354398
1999,AR,7.2329732994728158,-0.0033939221408099129
2000,AR,7.2281718402195745,-0.0048014592532412692
2001,AR,7.2027434114952369,-0.025428428724337593
2002,AR,7.2033340518450943,0.000590640349857452
2003,AR,7.1843767731092925,-0.018957278735801886
2004,AR,7.158202492001819,-0.02617428110747344
1969,AZ,7.179408434080484,
1970,AZ,7.2334674465750757,0.054059012494591663
1971,AZ,7.2553837274715383,0.021916280896462581
1972,AZ,7.2626178535029959,0.0072341260314576772
1973,AZ,7.2917271477694827,0.029109294266486785
1974,AZ,7.2835218976568035,-0.0082052501126792521
1975,AZ,7.3048733837428665,0.021351486086063076
1976,AZ,7.3366298575674191,0.0317564738245526
1977,AZ,7.366054861188978,0.029425003621558865
1978,AZ,7.3546741182240369,-0.011380742964941071
1979,AZ,7.3671902453894456,0.012516127165408619
1980,AZ,7.3787603775417461,0.011570132152300516
1981,AZ,7.3662628197053746,-0.01249755783637152
1982,AZ,7.3976667553372941,0.031403935631919566
1983,AZ,7.3897894655272536,-0.0078772898100405442
1984,AZ,7.3719077192290055,-0.017881746298248125
1985,AZ,7.3760236793087914,0.0041159600797859852
1986,AZ,7.3780658692887942,0.0020421899800027177
1987,AZ,7.37095072493443,-0.0071151443543637782
1988,AZ,7.3734839858712569,0.0025332609368264869
1989,AZ,7.3690611006841706,-0.0044228851870862229
1990,AZ,7.35740957829268,-0.011651522391490587
1991,AZ,7.3516856494394434,-0.0057239288532366928
1992,AZ,7.3421193227125849,-0.00956632672685842
1993,AZ,7.3133550488175878,-0.028764273894997139
1994,AZ,7.313814446400241,0.0004593975826532315
1995,AZ,7.3223274769529887,0.008513030552747658
1996,AZ,7.3081967463580089,-0.014130730594979823
1997,AZ,7.3063886233390161,-0.0018081230189928021
1998,AZ,7.3088546937523446,0.0024660704133285805
1999,AZ,7.3175601608472105,0.00870546709486586
2000,AZ,7.3011999267542995,-0.016360234092910986
2001,AZ,7.295753425153233,-0.0054465016010665224
2002,AZ,7.2946774746772123,-0.001075950476020715
2003,AZ,7.2681210371337013,-0.026556437543511002
2004,AZ,7.2546850932290425,-0.013435943904658743
1969,CA,7.2712084979562626,
1970,CA,7.3020239361260186,0.030815438169756071
1971,CA,7.3199317078366519,0.017907771710633291
1972,CA,7.3361941078415231,0.016262400004871225
1973,CA,7.3439730290576355,0.0077789212161123444
1974,CA,7.3723388875674427,0.028365858509807218
1975,CA,7.380203568438275,0.0078646808708322524
1976,CA,7.40979207847154,0.029588510033264903
1977,CA,7.4274430814643129,0.017651002992773
1978,CA,7.4069843115489871,-0.020458769915325803
1979,CA,7.421084321298042,0.014100009749054898
1980,CA,7.4373051939225805,0.016220872624538529
1981,CA,7.4307563750594605,-0.0065488188631199762
1982,CA,7.4418912915401,0.011134916480639134
1983,CA,7.4331387453044506,-0.008752546235649028
1984,CA,7.4416905129175808,0.0085517676131301457
1985,CA,7.4470704291031069,0.0053799161855261346
1986,CA,7.4474548524981348,0.00038442339502786638
1987,CA,7.4410306557939929,-0.0064241967041418491
1988,CA,7.4408044716581925,-0.00022618413580044461
1989,CA,7.4289843162429978,-0.011820155415194655
1990,CA,7.4412790600504213,0.012294743807423458
1991,CA,7.4385769971050637,-0.0027020629453575751
1992,CA,7.4247469972561086,-0.013829999848955055
1993,CA,7.4108779468351091,-0.013869050420999507
1994,CA,7.40248768130942,-0.00839026552568889
1995,CA,7.40637673210108,0.0038890507916597983
1996,CA,7.4061878877301828,-0.00018884437089727868
1997,CA,7.3992697518454129,-0.00691813588476986
1998,CA,7.4043501661726392,0.0050804143272262792
1999,CA,7.4100860598092044,0.0057358936365652369
2000,CA,7.40477203349345,-0.0053140263157542833
2001,CA,7.3828727969927659,-0.02189923650068426
2002,CA,7.3719104349956952,-0.01096236199707068
2003,CA,7.3451228646098272,-0.026787570385867987
2004,CA,7.3223436372185855,-0.022779227391241719
1969,CO,6.9296036412916324,
1970,CO,6.9448360424110538,0.015232401119421368
1971,CO,6.9693691405518852,0.024533098140831378
1972,CO,6.9919386144001718,0.02256947384828667
1973,CO,6.993783590266597,0.0018449758664251803
1974,CO,7.0042316127198232,0.01044802245322618
1975,CO,7.0090561397539943,0.0048245270341711333
1976,CO,7.0482544547434367,0.039198314989442373
1977,CO,7.0681097162647584,0.019855261521321665
1978,CO,7.0766371028297579,0.0085273865649995173
1979,CO,7.0913409981233189,0.014703895293560976
1980,CO,7.0899361677842609,-0.0014048303390579164
1981,CO,7.1071865658943469,0.017250398110085996
1982,CO,7.1131101738583773,0.0059236079640303529
1983,CO,7.1176073984128125,0.0044972245544352418
1984,CO,7.131051359905844,0.013443961493031509
